0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21A,21A,21A,21A,22B,22B,22B,22B,22B,22B,23C,23C,23C,23C,23C,23C
Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST
0.0,0.0,141337199.35999998,0.0,0.0,0.0,0.0,0.0,164824302.72,0.0,0.0,0.0,0.0,0.0,184132359.936,0.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479
1.82,3895110216.4153285,-9151100949.423096,-9630207940.487917,,213027450.18522596,1.561,2312831674.299999,-4353163658.840502,-363335193.2359594,,1255316127.5691347,1.42,5867076911.480407,-10246250027.216513,-11501566154.785648
1.82,3422192793.3201494,-12573293742.743244,-13557225594.882847,,228154867.33611038,1.561,1241864059.3757567,-5595027718.216259,-405732846.0412923,,1505515703.428649,1.42,6276580637.845675,-16522830665.062187,-18028346368.490837
1.82,7028084658.140007,-19601378400.88325,-20000371614.047256,,272551315.15328914,1.561,2660101592.2595825,-8255129310.4758415,-419616845.88287544,,1245147107.3478353,1.42,15055157034.286486,-31577987699.34867,-32823134806.69651
1.82,2849951522.6000447,-22451329923.483295,-22583561288.2805,,235712126.79309756,1.561,1588864169.055049,-9843993479.530891,-415552357.37585926,,950490474.8088771,1.42,6225735536.739175,-37803723236.087845,-38754213710.89672
1.82,944509748.5514634,-23395839672.03476,-23603836867.54316,,228618627.10814822,1.561,1479807074.0373838,-11323800553.568275,-436608531.70767224,,557841858.418099,1.42,5118025633.586262,-42921748869.6741,-43479590728.09221
1.82,1485694253.6314247,-24881533925.666183,-25087438025.914413,,203069711.79957214,1.561,1332754328.4331512,-12656554882.001427,-433538503.6687923,,423382482.23913056,1.42,2789209292.090495,-45710958161.764595,-46134340644.00372
1.82,1470743573.2016497,-26352277498.867832,-26775399770.5106,,169041931.49319857,1.561,1183814463.4055777,-13840369345.407005,-436020969.29560417,,329349303.42925304,1.42,2116912411.1956532,-47827870572.96025,-48157219876.3895
1.82,3022301940.3055,-29374579439.173332,-29698555169.249725,,145858376.3124611,1.561,2956338712.212891,-16796708057.619896,-436164310.85521173,,299385627.2526903,1.42,4940239551.43881,-52768110124.39906,-53067495751.65176
1.82,2314112357.688512,-31688691796.861843,-31989889568.261627,,37348231.427510895,1.561,850295467.2923743,-17647003524.91227,-444563224.2287887,,295325594.98422664,1.42,1496928136.2634513,-54265038260.66251,-54560363855.64674
1.82,2151412652.855592,-33840104449.717434,-34115024190.72731,,29466118.228894003,1.561,217725115.9451308,-17864728640.8574,-431040213.3338441,,303687636.2484366,1.42,1476627974.921133,-55741666235.58365,-56045353871.832085
1.82,1963712435.7848408,-35803816885.50227,-36072755444.98231,,20702458.79896478,1.561,171775577.11911303,-18036504217.976513,-412567244.93934304,,226764404.27230918,1.42,1518438181.242183,-57260104416.82583,-57486868821.09814
1.82,1920989710.5716586,-37724806596.07393,-38109004538.18826,,20702458.79896476,1.561,120686979.5455346,-18157191197.52205,-351769338.4011926,,206098486.8323092,1.42,1133822021.3615458,-58393926438.18738,-58600024925.019684
1.82,2744271015.1023693,-40469077611.1763,-40675953426.16094,,11147477.81482718,1.561,172409970.77933496,-18329601168.301384,-18340748646.11621,,86585754.82304114,1.42,1472132048.8022084,-59866058486.989586,-59952644241.81263
1.82,1477684392.7474298,-41946762003.92373,-42574478749.38373,,243750504.4670769,1.561,92836138.11194961,-18422437306.413334,-18666187810.88041,,992067193.2153845,1.42,792686487.8165739,-60658744974.80616,-61650812168.021545
1.82,4483691039.0,-46430453042.92373,-47402454321.98373,,143890645.2243077,1.561,2029952952.0,-20452390258.413334,-20596280903.63764,,521726858.9107692,1.42,9082305290.0,-69741050264.80615,-70262777123.71692
1.82,6942866279.0,-53373319321.92373,-53865259716.32373,,287263933.9823077,1.561,1198320556.0,-21650710814.413334,-21937974748.39564,,944275576.1092308,1.42,4776372652.0,-74517422916.80615,-75461698492.91539
1.82,3513859960.0,-56887179281.92373,-57252788113.90373,,204151490.18492308,1.561,2392332570.0,-24043043384.413334,-24247194874.598255,,1448298453.9430768,1.42,8644776401.0,-83162199317.80615,-84610497771.74922
1.82,2611491657.0,,,,,1.561,1700172564.0,,,,,1.42,13259070353.0,,
1.82,1540401888.0,,,,,1.561,2558729191.0,,,,,1.42,14636965958.0,,
1.82,3641157689.0,,,,,1.561,679981194.0,,,,,1.42,5009097095.0,,
1.82,2129799840.0,,,,,1.561,1235318519.0,,,,,1.42,3076657109.0,,
1.82,3999136982.0,,,,,1.561,1051986719.0,,,,,1.42,6336835871.0,,
1.82,3229493114.0,,,,,1.561,2280317814.0,,,,,1.42,4869241729.0,,
1.82,4841253891.0,,,,,1.561,1716153959.0,,,,,1.42,2366380350.0,,
1.82,2799733837.0,,,,,1.561,1043557130.0,,,,,1.42,8886117345.0,,
1.82,3108651811.0,,,,,1.561,2144985258.0,,,,,1.42,10960561216.0,,
1.82,2338729679.0,,,,,1.561,1892232865.0,,,,,1.42,9553273310.0,,
1.82,5089378170.0,,,,,1.561,813031055.0,,,,,1.42,11416542925.0,,
1.82,5928392971.0,,,,,1.561,1963865830.0,,,,,1.42,11288374390.0,,
1.82,1690158851.0,,,,,1.561,1631591332.0,,,,,1.42,3736677684.0,,
1.82,2434860447.0,,,,,1.561,803641152.0,,,,,1.42,4331513188.0,,
1.82,2751263430.0,,,,,1.561,899379883.0,,,,,1.42,3669820560.0,,
