Week,EffectiveDemand_21A,SafetyStockTarget_22B,EffectiveDemand_22B,SafetyStockTarget_23C,EffectiveDemand_23C,AvailableCapacity_Total,AvailableCapacity_21A,AvailableCapacity_22B,AvailableCapacity_23C,Yield_21A,Yield_22B,Yield_23C
,,,,,,,,,,,,
,,,,,,,,,,,,
,0.0,0.0,0.0,0.0,0.0,,,,,,,
1.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,,,,,,,
2.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,,,,,,,
3.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,,,,,,,
2.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,,,,,,,
3.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,,,,,,,
2.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,,,,,,,
3.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,3895110216.415329,213027450.185226,2312831674.299999,1255316127.5691347,5867076911.480407,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,,,,,,,
2.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,,,,,,,
3.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,3422192793.3201494,228154867.3361104,1241864059.3757567,1505515703.428649,6276580637.845675,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,,,,,,,
2.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,,,,,,,
3.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,7028084658.140007,272551315.15328914,2660101592.2595825,1245147107.3478353,15055157034.286486,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,,,,,,,
2.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,,,,,,,
3.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,2849951522.6000447,235712126.7930976,1588864169.055049,950490474.8088772,6225735536.739175,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,,,,,,,
2.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,,,,,,,
3.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,944509748.5514634,228618627.10814825,1479807074.0373838,557841858.418099,5118025633.586262,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,,,,,,,
2.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,,,,,,,
3.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,1485694253.631425,203069711.7995721,1332754328.4331512,423382482.23913056,2789209292.090495,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,,,,,,,
2.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,,,,,,,
3.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,1470743573.2016497,169041931.49319857,1183814463.4055777,329349303.42925304,2116912411.1956527,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,3022301940.3055,145858376.3124611,2956338712.212891,299385627.2526903,4940239551.43881,,,,,,,
2.0,3022301940.3055,145858376.3124611,2956338712.212891,299385627.2526903,4940239551.43881,,,,,,,
3.0,3022301940.3055,145858376.3124611,2956338712.212891,299385627.2526903,4940239551.43881,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,3022301940.3055,145858376.3124611,2956338712.212891,299385627.2526903,4940239551.43881,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
